Licensee Name,Doing Business As,License Type,Issue Date,License Number,Street Address,City,State,Zip,Location
COLLISION BREWING COMPANY LLC,COLLISION BREWING COMPANY,Brew Pub (county),08/28/18,4710418,1436 SKYWAY DRIVE,Longmont,CO,80504,"1436 SKYWAY DRIVE
Longmont, CO 80504
(40.15791, -105.032299)"
CHEBA HUT INVESTMENT COMPANY INC,CHEBA HUT STAPLETON,Hotel & Restaurant (city),11/29/18,03-10678,3990 CENTRAL PARK BOULEVARD #110,Denver,CO,80238,
PROVISION,PROVISION BAR,Tavern (city),08/15/18,4710381,302 WILCOX STREET,Castle Rock,CO,80104,"302 WILCOX STREET
Castle Rock, CO 80104
(39.372534, -104.859952)"
FUR TRAPPERS STEAK HOUSE OF VALLECITO,FUR TRAPPERS STEAK HOUSE OF VALLECITO,Hotel & Restaurant (county),08/27/18,4710488,17460 COUNTY ROAD 501,Bayfield,CO,81122,"17460 COUNTY ROAD 501
Bayfield, CO 81122
(37.429398, -107.557078)"
FONTANA WANG INC,FONTANA SUSHI,Hotel & Restaurant (city),08/27/18,4710468,19741 EAST SMOKY HILL ROAD UNIT A-3,Centennial,CO,80015,"19741 EAST SMOKY HILL ROAD UNIT A-3
Centennial, CO 80015
(39.61364, -104.758276)"
RUFFRANO'S LLC,RUFFRANO'S HELL'S KITCHEN PIZZA,Hotel & Restaurant (county),08/27/18,4710246,385 MAIN STREET,SECURITY,CO,80911,"385 MAIN STREET
SECURITY, CO 80911
(38.753462, -104.740276)"
OLD TOWN CELLARS  LLC,OLD TOWN CELLARS,Wine Delivery Permit,08/27/18,4709382,890 MAIN STREET SUITE #103,Park City,UT,84060,"890 MAIN STREET SUITE #103
Park City, UT 84060
(40.648194, -111.498643)"
RINE RIDGE WINERY LLC,ARCHERY SUMMIT WINERY,Wine Delivery Permit,08/27/18,4710461,18599 NE ARCHERY SUMMIT ROAD,Dayton,OR,97114,"18599 NE ARCHERY SUMMIT ROAD
Dayton, OR 97114
(45.256004, -123.042859)"
GORGEOUS WINE COMPANY LLC,WIND ROSE CELLARS,Wine Delivery Permit,08/27/18,4710464,233 BELL BOTTOM ROAD,Sequim,WA,98382,"233 BELL BOTTOM ROAD
Sequim, WA 98382
(48.072731, -123.065747)"
"BOTTAIA WINES, LP",BOTTAIA WINERY,Wine Delivery Permit,08/27/18,4710479,35601 RANCHO CALIFORNIA ROAD,Temecula,CA,92591,"35601 RANCHO CALIFORNIA ROAD
Temecula, CA 92591
(33.544116, -117.044315)"
"WHITE ESTATE WINERY, LLC",TROON VINEYARD,Wine Delivery Permit,08/27/18,4710480,1475 KUBLI ROAD,Grants Pass,OR,97527,"1475 KUBLI ROAD
Grants Pass, OR 97527
(42.304146, -123.219191)"
DUE RAGAZZE VINEYARD LLC,DUE RAGAZZE VINEYARDS,Wine Delivery Permit,08/27/18,4710481,3046 PONDEROSA ROAD,Shingle Springs,CA,95682,"3046 PONDEROSA ROAD
Shingle Springs, CA 95682
(38.692399, -120.942868)"
PERUS WINE COMPANY LLC,PERUS WINE,Wine Delivery Permit,08/27/18,4710489,7633 SILVERADO TRAIL,Napa,CA,94558,"7633 SILVERADO TRAIL
Napa, CA 94558
(38.453037, -122.361793)"
SPECTRA VINO LLC,SPECTRA VINO,Wine Delivery Permit,08/27/18,4710491,2 WEST LOCKEFORD STREET,Lodi,CA,95240,"2 WEST LOCKEFORD STREET
Lodi, CA 95240
(38.137789, -121.272355)"
"GALLERY 89, LLC",GALLERY 89,Art Gallery Permit,08/27/18,4710437,1009 LINCOLN AVENUE UNIT 101,Steamboat Springs,CO,80477,"1009 LINCOLN AVENUE UNIT 101
Steamboat Springs, CO 80477
(40.487595, -106.837093)"
CLIFF LLC,HOLLY HILLS PLAZA LIQUOR,Liquor Store (city),08/27/18,4710442,2120 SOUTH HOLLY STREET UNITS 1 & 2,Denver,CO,80222,"2120 SOUTH HOLLY STREET UNITS 1 &amp; 2
Denver, CO 80222
(39.677643, -104.922265)"
BOTTLES LLC,LOTS A LIQUOR,Liquor Store (city),08/27/18,4710459,2308 NORTH WAHSATCH AVENUE,Colorado Springs,CO,80907,"2308 NORTH WAHSATCH AVENUE
Colorado Springs, CO 80907
(38.866186, -104.816453)"
DUNCAN LLC,DEX'S DINER/ DEX'S DOGS,3.2% Beer On Premises (city),08/27/18,4600838,56 HIGHWAY 105,Palmer Lake,CO,80133,"56 HIGHWAY 105
Palmer Lake, CO 80133
(39.120424, -104.914655)"
"NASER 4 ENTERPRISE, INC. & 7-ELEVEN, INC.",7-ELEVEN STORE 33042B,3.2% Beer Off Premises (city),08/27/18,4600874,8750 SOUTH YOSEMITE STREET,Lone Tree,CO,80124,"8750 SOUTH YOSEMITE STREET
Lone Tree, CO 80124
(39.55776, -104.881566)"
7-ELEVEN INC,7-ELEVEN STORE 35069H,3.2% Beer Off Premises (city),08/27/18,4600877,1091 13TH STREET,Boulder,CO,80302,"1091 13TH STREET
Boulder, CO 80302
(40.007152, -105.276203)"
PESTER MARKETING COMPANY,ALTA #6129,3.2% Beer Off Premises (city),08/24/18,4600871,1500 NORTH MAIN STREET,Longmont,CO,80501,"1500 NORTH MAIN STREET
Longmont, CO 80501
(40.185111, -105.102335)"
MILA RESTAURANT LLC,MILA,Hotel & Restaurant (city),08/24/18,4709945,"999 18TH STREET, SUITE 101",Denver,CO,80202,"999 18TH STREET, SUITE 101
Denver, CO 80202
(39.748745, -104.99195)"
LI FAMILY INC.,OKINAWA SUSHI,Hotel & Restaurant (city),08/23/18,4710122,"11985 WASHINGTON STREET, UNIT 2",Northglenn,CO,80233,"11985 WASHINGTON STREET, UNIT 2
Northglenn, CO 80233
(39.913623, -104.977943)"
"OCEAN'S 18, LLC",THE 415,Hotel & Restaurant (city),08/23/18,4710203,415 SOUTH MASON STREET,Fort Collins,CO,80524,"415 SOUTH MASON STREET
Fort Collins, CO 80524
(40.582355, -105.078975)"
PESTER MARKETING COMPANY,ALTA #6145,3.2% Beer Off Premises (city),08/23/18,4600872,825 MAIN STREET,Fort Morgan,CO,80701,"825 MAIN STREET
Fort Morgan, CO 80701
(40.257811, -103.801514)"
O&P LLC,WINE AND LIQUOR SPECIALS,Liquor Store (city),08/23/18,4710204,2439 SOUTH COLLEGE AVENUE,Fort Collins,CO,80525,"2439 SOUTH COLLEGE AVENUE
Fort Collins, CO 80525
(40.555303, -105.077131)"
"GRAND RIVER HOTEL, INC.",GRAND RIVER HOTEL,Beer & Wine (city),08/23/18,4709916,221 GRAND VALLEY WAY,Parachute,CO,81635,"221 GRAND VALLEY WAY
Parachute, CO 81635
(39.452277, -108.044958)"
HEATHER HATWAN PRODUCTIONS LLC,THE BRANDING IRON,Tavern (city),08/23/18,4710363,35 EAST 1ST STREET,Nederland,CO,80466,"35 EAST 1ST STREET
Nederland, CO 80466
(39.96189, -105.510243)"
DYB CRAFT BREW INC.,ARTISAN CRAFT CELLARS,Limited Winery,08/23/18,4710304,9050 WEST 88TH AVENUE,Westminster,CO,80005,"9050 WEST 88TH AVENUE
Westminster, CO 80005
(39.856356, -105.099866)"
"BONANNO VINTERS, LLC",BONANNO VINTERS,Importer (vinous & spirituous),08/23/18,4710242,850 RUTHERFORD ROAD,Rutherford,CA,94573,"850 RUTHERFORD ROAD
Rutherford, CA 94573
(38.466604, -122.408181)"
POP'S VINEYARDS LLC,POP'S VINEYARD,Limited Winery,08/23/18,4709494,1940 13TH STREET,Penrose,CO,81240,"1940 13TH STREET
Penrose, CO 81240
(38.410584, -104.960249)"
5280 DISTILLING CORP,5280 DISTILLING CORP,Wholesale (vinous & spirituous),08/23/18,4709645,10488 WEST CENTENNIAL ROAD SUITE 900,Littleton,CO,80127,"10488 WEST CENTENNIAL ROAD SUITE 900
Littleton, CO 80127
(39.567505, -105.116497)"
5280 DISTILLING CORP,5280 DISTILLING CORP,Manufacturer (distillery & rectifier),08/23/18,4709646,10488 WEST CENTENNIAL ROAD SUITE 900,Littleton,CO,80127,"10488 WEST CENTENNIAL ROAD SUITE 900
Littleton, CO 80127
(39.567505, -105.116497)"
OUTPOST LIMITED,OUTPOST,Tavern (city),08/23/18,4710245,7431 PARK MEADOWS DRIVE,Lone Tree,CO,80124,"7431 PARK MEADOWS DRIVE
Lone Tree, CO 80124
(39.560616, -104.902875)"
"J & J'S BAR AND GRILL, INC.",J & J'S BAR AND GRILL,Tavern (city),08/23/18,4710335,152 SOUTH MESA STREET,Fruita,CO,81521,"152 SOUTH MESA STREET
Fruita, CO 81521
(39.157616, -108.733656)"
"HANK'S TEXAS BBQ, LLC",HANK'S BBQ,Hotel & Restaurant (city),08/22/18,4710373,5410 EAST COLFAX,Denver,CO,80220,"5410 EAST COLFAX
Denver, CO 80220
(39.740082, -104.924246)"
"CURIEL-3, LLC",RIO BRAVO,Hotel & Restaurant (city),08/22/18,4710421,1544 OXBOW DRIVE SUITE 198,Montrose,CO,81401,"1544 OXBOW DRIVE SUITE 198
Montrose, CO 81401
(38.447253, -107.864135)"
"GOLDEN HOTEL GROUP, LLC",ORIGIN RED ROCKS,Hotel & Restaurant (city),08/22/18,4710221,18485 WEST COLFAX AVENUE,Golden,CO,80401,"18485 WEST COLFAX AVENUE
Golden, CO 80401
(39.701421, -105.204504)"
WINE WINE SITUATION LLC,WINE WINE SITUATION,Importer (vinous & spirituous),08/22/18,4710230,"6210 WILSHIRE BOULEVARD, SUITE 208",Los Angeles,CA,90048,"6210 WILSHIRE BOULEVARD, SUITE 208
Los Angeles, CA 90048
(34.063237, -118.363834)"
CANAL STREET BREWING CO. LLC,FOUNDERS BREWING CO.,Nonresident Manufacturer (malt liquor),08/22/18,4710162,235 GRANDVILLE AVENUE SW,Grand Rapids,MI,49503,"235 GRANDVILLE AVENUE SW
Grand Rapids, MI 49503
(42.958179, -85.673461)"
BINO'S PIZZA LLC,BINO'S PIZZA LLC,Hotel & Restaurant (city),08/22/18,4709548,318 COMANCHE STREET,Kiowa,CO,80117,"318 COMANCHE STREET
Kiowa, CO 80117
(39.346559, -104.465115)"
CENTENNIAL COLORADO INC.,CENTENNIAL WINE & SPIRITS,Liquor Store (city),08/22/18,4710382,324 SOUTH MCCASLIN BOULEVARD,Louisville,CO,80027,"324 SOUTH MCCASLIN BOULEVARD
Louisville, CO 80027
(39.965739, -105.163311)"
PESTER MARKETING COMPANY,ALTA #6255,3.2% Beer Off Premises (city),08/22/18,4600870,305 STATE STREET,Trinidad,CO,81082,"305 STATE STREET
Trinidad, CO 81082
(37.170219, -104.511442)"
SUN WHITE LLC,EAST EVANS LIQUOR,Liquor Store (city),08/22/18,4709879,4970 EAST EVANS AVENUE,Denver,CO,80222,"4970 EAST EVANS AVENUE
Denver, CO 80222
(39.678456, -104.929922)"
"MENABET, INC. & 7-ELEVEN, INC.",7-ELEVEN STORE 38351A,3.2% Beer Off Premises (city),08/21/18,4600808,15200 EAST 120TH AVENUE,Commerce City,CO,80022,
FONTANA SUSHI 3 LLC,FONTANA SUSHI,Hotel & Restaurant (city),08/21/18,4709147,701 EAST 6TH AVENUE,Denver,CO,80203,"701 EAST 6TH AVENUE
Denver, CO 80203
(39.725621, -104.978447)"
ECLECTIC COLLECTIVE BROADWAY LLC,BROADWAY MARKET,Hotel & Restaurant (city),08/21/18,4710029,"950 BROADWAY, FIRST FLOOR",Denver,CO,80203,"950 BROADWAY, FIRST FLOOR
Denver, CO 80203
(39.731284, -104.987392)"
NEON ALLEY LTD.,BISTORO,Hotel & Restaurant (city),08/21/18,4710032,109 CENTRAL PLAZA,Pueblo,CO,81003,"109 CENTRAL PLAZA
Pueblo, CO 81003
(38.268053, -104.609552)"
RIVERWALK DEVELOPMENT CO LLC,RIVERWALK THEATER,Lodging & Entertainment (County),08/21/18,4710312,34253 US HIGHWAY 6,Edwards,CO,81632,"34253 US HIGHWAY 6
Edwards, CO 81632
(39.643218, -106.592584)"
RBR CROSSROADS LLC,FUZZY'S TACO SHOP,Hotel & Restaurant (city),08/21/18,4710255,4305 FAIRGROUNDS AVENUE,Windsor,CO,80550,
1911 11TH ST. LLC,1911 11TH ST.,Tavern (city),08/21/18,4710238,1911 11TH STREET,Boulder,CO,80302,"1911 11TH STREET
Boulder, CO 80302
(40.016901, -105.281041)"
ELK MOUNTAIN HOSPITALITY INC,ASPEN PUBLIC HOUSE,Hotel & Restaurant (city),08/21/18,4710430,328 EAST HYMAN AVENUE,Aspen,CO,81611,"328 EAST HYMAN AVENUE
Aspen, CO 81611
(39.189125, -106.819952)"
15-16 LLC,HACIENDA COLORADO,Hotel & Restaurant (city),08/21/18,4710452,3298 YOUNGFIELD STREET,Wheat Ridge,CO,80033,"3298 YOUNGFIELD STREET
Wheat Ridge, CO 80033
(39.76329, -105.142504)"
SANTERAMOS PIZZA LLC,SANTERAMOS PIZZA,Hotel & Restaurant (city),08/20/18,4710400,8410 WADSWORTH BOULEVARD UNITS E & D,Arvada,CO,80003,
ARTIZEN LLC,SEEDZ,Beer & Wine (city),08/20/18,4710017,1117 LINCOLN AVENUE,Steamboat Springs,CO,80487,"1117 LINCOLN AVENUE
Steamboat Springs, CO 80487
(40.488321, -106.838311)"
"TOKYO, INC.",TOKYO JOE'S,Beer & Wine (city),08/20/18,4710194,"1634 SOUTH NEVADA AVENUE, SUITE 170",Colorado Springs,CO,80906,"1634 SOUTH NEVADA AVENUE, SUITE 170
Colorado Springs, CO 80906
(38.810092, -104.822423)"
"QUARTERS BAR + ARCADE, INC.",QUARTERS BAR + ARCADE,Tavern (city),08/20/18,4710207,475 MAIN STREET,Longmont,CO,80501,"475 MAIN STREET
Longmont, CO 80501
(40.167209, -105.102507)"
FRC BALANCE LLC,TRUE FOOD KITCHEN,Hotel & Restaurant (city),08/20/18,4710210,"2800 EAST 2ND AVENUE, SUITE 101",Denver,CO,80206,"2800 EAST 2ND AVENUE, SUITE 101
Denver, CO 80206
(39.719423, -104.954026)"
GARNISH INC,GARNISH INDIAN FUSION CUISINE,Hotel & Restaurant (city),08/20/18,4710216,6585 GREENWOOD PLAZA BOULEVARD,Greenwood Village,CO,80111,"6585 GREENWOOD PLAZA BOULEVARD
Greenwood Village, CO 80111
(39.597692, -104.894835)"
"RAGLIN MARKET GUNBARREL, LLC",RAGLIN MARKET,Hotel & Restaurant (city),08/20/18,4710083,"5378 GUNBARREL CENTER COURT, UNIT 2",Boulder,CO,80301,"5378 GUNBARREL CENTER COURT, UNIT 2
Boulder, CO 80301
(40.071947, -105.199521)"
DILLON COMPANIES INC,CITY MARKET #14 FUEL CENTER,3.2% Beer Off Premises (city),08/20/18,4600859,555 MARKETPLACE PLAZA,Steamboat Springs,CO,80488,"555 MARKETPLACE PLAZA
Steamboat Springs, CO 80488
(40.459333, -106.820629)"
DILLON COMPANIES INC,KING SOOPERS #58 FUEL CENTER,3.2% Beer Off Premises (city),08/20/18,4600860,710 CHEYENNE MEADOWS ROAD,Colorado Springs,CO,80906,"710 CHEYENNE MEADOWS ROAD
Colorado Springs, CO 80906
(38.776839, -104.814358)"
INDO INVESTMENTS INC.,JORDAN WINE AND SPIRITS,Liquor Store (city),08/17/18,4710018,17021 LINCOLN AVENUE #G,Parker,CO,80134,"17021 LINCOLN AVENUE #G
Parker, CO 80134
(39.534113, -104.791215)"
"RANCHO DEL RIO HOLDINGS, LLC",RANCHO DEL RIO,Liquor Store (county),08/17/18,4710405,4199 TROUGH ROAD,Bond,CO,80423,"4199 TROUGH ROAD
Bond, CO 80423
(39.896343, -106.606989)"
"YARD HOUSE USA, INC.",YARD HOUSE #8339,Hotel & Restaurant (city),08/17/18,4710152,8437 PARK MEADOWS CENTER DRIVE,Lone Tree,CO,80124,"8437 PARK MEADOWS CENTER DRIVE
Lone Tree, CO 80124
(39.55967, -104.872731)"
"LONGMONT ADDITION, LLC",TACO EAT TACO,Hotel & Restaurant (city),08/17/18,4709929,"721 CONFIDENCE DRIVE, UNIT 1",Longmont,CO,80504,"721 CONFIDENCE DRIVE, UNIT 1
Longmont, CO 80504
(40.134747, -105.104875)"
ROARING FORK GRILL LLC,ROARING FORK GRILL,Hotel & Restaurant / Optional (city),08/17/18,4710409,400 EAST VALLEY ROAD UNIT G,Basalt,CO,81621,"400 EAST VALLEY ROAD UNIT G
Basalt, CO 81621
(39.383518, -107.082777)"
"BOARDGAMES, BEER AND BITES LLC","BOARDGAMES, BEER AND BITES",Beer & Wine (city),08/17/18,4710200,2027 BROADWAY,Boulder,CO,80302,"2027 BROADWAY
Boulder, CO 80302
(40.018475, -105.280186)"
MOD'S THAI HOUSE,MOD'S THAI HOUSE,Beer & Wine (city),08/17/18,4710266,132 MIDLAND,Basalt,CO,81621,"132 MIDLAND
Basalt, CO 81621
(39.369024, -107.034141)"
"ROCKY MOUNTAIN PIZZERIA, INC.",ROCKY MOUNTAIN PIZZERIA,Hotel & Restaurant (city),08/17/18,4710279,19523 HESS ROAD UNIT 101,Parker,CO,80134,"19523 HESS ROAD UNIT 101
Parker, CO 80134
(39.493074, -104.763234)"
"ILLEGAL BURGER CITISET, LLC",ILLEGAL BURGER,Hotel & Restaurant (city),08/17/18,4710295,652 SOUTH COLORADO BOULEVARD,Glendale,CO,80246,"652 SOUTH COLORADO BOULEVARD
Glendale, CO 80246
(39.70516, -104.940609)"
LTF CLUB OPERATIONS COMPANY INC,LIFE TIME FITNESS,Lodging & Entertainment (City),08/17/18,4710202,9250 CROWN CREST BOULEVARD,Parker,CO,80138,"9250 CROWN CREST BOULEVARD
Parker, CO 80138
(39.550007, -104.770681)"
GIB SINGLETON GALLERY,GIB SINGLETON GALLERY,Art Gallery Permit,08/17/18,4710460,ONE WILLOW BRIDGE ROAD C5,Vail,CO,81657,
MHM GLASS ETCHING INC,MCCARRON WINERY,Wine Delivery Permit,08/16/18,4710439,2363 NEWTON AVENUE SUITE A,San Diego,CA,92113,"2363 NEWTON AVENUE SUITE A
San Diego, CA 92113
(32.694711, -117.138424)"
OGILVIE MERWIN VENTURES LLC,OGILVIE MERWIN VINTNERS,Wine Delivery Permit,08/16/18,4710440,35265 WILLOW AVENUE,Clarksburg,CA,95612,"35265 WILLOW AVENUE
Clarksburg, CA 95612
(38.422912, -121.53383)"
RESIGN WINE LLC,RESIGN WINE,Wine Delivery Permit,08/16/18,4710435,"21481 8TH STREET E, SUITE 1",Sonoma,CA,95476,"21481 8TH STREET E, SUITE 1
Sonoma, CA 95476
(38.262243, -122.440117)"
ROBLAR LLC,ROBLAR LLC,Wine Delivery Permit,08/16/18,4710436,4155 WINE CREEK ROAD,Healdsburg,CA,95448,"4155 WINE CREEK ROAD
Healdsburg, CA 95448
(38.656503, -122.95011)"
"WINE-STAINED DREAMS, LLC",J. CAGE CELLARS,Wine Delivery Permit,08/16/18,4710458,6705 SONOMA HIGHWAY,Santa Rosa,CA,95409,"6705 SONOMA HIGHWAY
Santa Rosa, CA 95409
(38.445276, -122.605036)"
SUMMIT ENTERTAINMENT OF THORNTON LLC,THE SUMMIT THORNTON,Lodging & Entertainment (City),08/16/18,4710252,580 EAST 144TH AVENUE,Thornton,CO,80023,"580 EAST 144TH AVENUE
Thornton, CO 80023
(39.957466, -104.979074)"
"EL GUERO, INC",TAQUERIA AND BARBACOA EL OSO,Hotel & Restaurant (city),08/16/18,4710457,3000 S FEDERAL BLVD,Denver,CO,80236,"3000 S FEDERAL BLVD
Denver, CO 80236
(39.661882, -105.025158)"
"THC ENTERPRISES, LLC",HACK SHACK,Liquor Store (county),08/16/18,4710182,4340 VALVERDE WAY,Colorado City,CO,81019,"4340 VALVERDE WAY
Colorado City, CO 81019
(37.946387, -104.834131)"
"SPRINGFIELD TRUCKSTOP, LLC",VALERO,3.2% Beer Off Premises (city),08/16/18,4600845,27080 US HIGHWAY 287,Springfield,CO,81073,"27080 US HIGHWAY 287
Springfield, CO 81073
(37.394126, -102.616439)"
GOTTIWEBS LLC,BONDI BEACH BAR AND GRILL,Tavern (city),08/15/18,4709349,11 OLD TOWN SQUARE  SUITE 120,Fort Collins,CO,80524,"11 OLD TOWN SQUARE SUITE 120
Fort Collins, CO 80524
(40.587848, -105.075568)"
PUNJABI ENTERPRISES,PARKWAY DISCOUNT LIQUOR,Liquor Store (city),08/15/18,4710237,6075 EAST PARKWAY DRIVE #101,Commerce City,CO,80022,"6075 EAST PARKWAY DRIVE #101
Commerce City, CO 80022
(39.807376, -104.929009)"
VAIL SPIRITS LLC,VAIL SPIRITS,Liquor Store (city),08/15/18,4710337,450 EAST LIONSHEAD CIRCLE UNIT X,Vail,CO,81657,"450 EAST LIONSHEAD CIRCLE UNIT X
Vail, CO 81657
(39.644122, -106.386497)"
SHINO LIQUORS LLC,SHINO LIQUORS,Liquor Store (city),08/15/18,4710065,336 EAST CHESTNUT STREET,Sterling,CO,80751,"336 EAST CHESTNUT STREET
Sterling, CO 80751
(40.622411, -103.197726)"
"CRAFTY CANARY BREWERY, LLC",CRAFTY CANARY BREWERY,Brew Pub (city),08/15/18,4709915,107 EAST 5TH STREET,Walsenburg,CO,81089,"107 EAST 5TH STREET
Walsenburg, CO 81089
(37.624757, -104.781096)"
"TEMPLETON'S, INC.",TEMPLETON'S,Hotel & Restaurant (city),08/15/18,4709923,2 SOUTH TWENTY FIFTH STREET,Colorado Springs,CO,80904,"2 SOUTH TWENTY FIFTH STREET
Colorado Springs, CO 80904
(38.84336, -104.854485)"
BUFFET CITY BRIGHTON INC.,BUFFET CITY,Hotel & Restaurant (city),08/15/18,4709876,50 NORTH MAIN STREET,Brighton,CO,80601,"50 NORTH MAIN STREET
Brighton, CO 80601
(39.987668, -104.821233)"
"MJK LODGING, LLC",HOLIDAY INN PARKER,Hotel & Restaurant (city),08/15/18,4710214,19308 EAST COTTONWOOD DRIVE,Parker,CO,80138,"19308 EAST COTTONWOOD DRIVE
Parker, CO 80138
(39.552975, -104.771409)"
JIMMERS CORTEZ LLC,JIMMERS,Hotel & Restaurant (city),08/15/18,4710311,439 EAST MAIN STREET,Cortez,CO,81321,"439 EAST MAIN STREET
Cortez, CO 81321
(37.34871, -108.579181)"
WORLD'S END BREWING COMPANY,WORLD'S END BREWING COMPANY,Brew Pub (city),08/15/18,4710222,401 MAIN STREET,Canon City,CO,81212,"401 MAIN STREET
Canon City, CO 81212
(38.440031, -105.241716)"
"ROCK CREEK GROUP, INC.",ROCK CREEK TAVERN,Hotel & Restaurant (county),08/15/18,4710226,357 HIGHWAY 7 BUSINESS,Allenspark,CO,80510,
PROST BREWING COMPANY LLC,PROST BREWING COMPANY,Manufacturer (brewery),08/15/18,4709696,321 OLD FIREHOUSE ALLEY,Fort Collins,CO,80524,
"MACCHIA, INC.",MACCHIA,Wine Delivery Permit,08/15/18,4710342,7099 EAST PELTIER ROAD,Acampo,CA,95220,"7099 EAST PELTIER ROAD
Acampo, CA 95220
(38.189085, -121.230572)"
"SORELLE DELICATESSEN, INC.","SORELLE DELICATESSEN, INC.",Hotel & Restaurant (city),08/14/18,4710159,303 HIGHWAY 24 NORTH,Buena Vista,CO,81211,"303 HIGHWAY 24 NORTH
Buena Vista, CO 81211
(38.844284, -106.133815)"
WILD BLUE YONDER BREWING CO LLC,WILD BLUE YONDER BREWING CO,Brew Pub (city),08/14/18,4709844,519 WILCOX STREET,Castle Rock,CO,80104,"519 WILCOX STREET
Castle Rock, CO 80104
(39.37516, -104.859915)"
"EMMALEE'S HOUSE, INC.",EMMALEE'S HOUSE,Hotel & Restaurant (city),08/14/18,4709799,3500 MORRISON ROAD,Denver,CO,80219,"3500 MORRISON ROAD
Denver, CO 80219
(39.710797, -105.033237)"
COLORADO GIFTS AND GRUB LLC,COLORADO GIFTS AND GRUB LLC,Hotel & Restaurant (city),08/14/18,4710043,217 ELDON WILSON ROAD,Gypsum,CO,81637,"217 ELDON WILSON ROAD
Gypsum, CO 81637
(39.639673, -106.914853)"
EM REES INC,QUINCY'S,Hotel & Restaurant (city),08/14/18,4709367,416 HARRISON AVENUE,Leadville,CO,80461,"416 HARRISON AVENUE
Leadville, CO 80461
(39.247781, -106.291572)"
CAMELOT 18525 LLC,CAMELOT LIQUOR,Liquor Store (city),08/14/18,4709901,"18525 EAST SMOKY HILL ROAD, UNIT F",Centennial,CO,80015,"18525 EAST SMOKY HILL ROAD, UNIT F
Centennial, CO 80015
(39.618671, -104.77276)"
"NICCO, INC & 7-ELEVEN INC",7-ELEVEN STORE 13071B,3.2% Beer Off Premises (county),08/14/18,4600861,5 WIDEFIELD BOULEVARD,WIDEFIELD,CO,80911,"5 WIDEFIELD BOULEVARD
WIDEFIELD, CO 80911
(38.736395, -104.728622)"
"B&E ENTERPRISES, INC. & 7-ELEVEN, INC.",7-ELEVEN STORE 38093A,3.2% Beer Off Premises (city),08/13/18,4600826,1175 ALOHA STREET,Castle Rock,CO,80108,
AC BROADWAY LLC,ATOMIC COWBOY / DENVER BISCUIT CO. / FAT SULLY'S NEW YORK PIZZA,Hotel & Restaurant (city),08/13/18,4708762,141 - 143 SOUTH BROADWAY,Denver,CO,80209,"141 - 143 SOUTH BROADWAY
Denver, CO 80209
(39.713712, -104.987537)"
JUSTIN RAY PRICE & MONIQUE FLORES,MISSION DELI MESA,Tavern (city),08/13/18,4710218,124 NORTH MAIN STREET,La Veta,CO,81055,"124 NORTH MAIN STREET
La Veta, CO 81055
(37.511623, -105.008988)"
INFINITY RAMEN INC.,INFINITY RAMEN,Hotel & Restaurant (city),08/13/18,4710192,5725 YUKON STREET,Arvada,CO,80002,"5725 YUKON STREET
Arvada, CO 80002
(39.801674, -105.082588)"
NATIV DENVER LLC,NATIV HOTEL,Hotel & Restaurant (city),08/13/18,4710126,1612 WAZEE STREET,Denver,CO,80202,"1612 WAZEE STREET
Denver, CO 80202
(39.75144, -104.999751)"
"OUR PLACE BREWHAUS, LLC",WORLDS END BREWPUB,Hotel & Restaurant (city),08/13/18,4710105,813 GRAND AVENUE,Grand Lake,CO,80447,"813 GRAND AVENUE
Grand Lake, CO 80447
(40.252045, -105.822203)"
GRAPE EXPECTATIONS INC,GRAPE EXPECTATIONS INC,Importer (vinous & spirituous),08/13/18,4710426,1091 ESSEX AVENUE,Richmond,CA,94801,"1091 ESSEX AVENUE
Richmond, CA 94801
(37.94914, -122.365901)"
DOMAINE SELECT WINE & SPIRITS LLC,DOMAINE SELECT WINE & SPIRITS LLC,Importer (vinous & spirituous),08/13/18,4710406,105 MADISON AVENUE,New York,NY,10016,"105 MADISON AVENUE
New York, NY 10016
(40.745005, -73.984951)"
ELLMAN FAMILY VINEYARDS LLC,ELLMAN FAMILY VINEYARDS LLC,Wine Delivery Permit,08/13/18,4710431,620 TRANCAS STREET,Napa,CA,94558,"620 TRANCAS STREET
Napa, CA 94558
(38.324863, -122.286813)"
MIGHTY LITTLE MARKETS LLC,TRIBUTARY FOOD HALL,Hotel & Restaurant (city),08/13/18,4710206,"701 12TH STREET, UNITS 131-151",Golden,CO,80401,"701 12TH STREET, UNITS 131-151
Golden, CO 80401
(39.755947, -105.220342)"
BROADWAY'S NEIGHBORHOOD BAR LLC,BROADWAY'S SHOT SPOT,Tavern (city),08/13/18,4710314,4011 SOUTH BROADWAY UNIT 103,Englewood,CO,80113,"4011 SOUTH BROADWAY UNIT 103
Englewood, CO 80113
(39.643671, -104.987805)"
AATREY LLC,SPICE KITCHEN,Hotel & Restaurant (city),08/13/18,4710433,19751 MAINSTREET UNIT R1,Parker,CO,80138,"19751 MAINSTREET UNIT R1
Parker, CO 80138
(39.51823, -104.760781)"
RBR CASTLE ROCK LLC,FUZZY'S TACO SHOP,Hotel & Restaurant (city),08/13/18,4710302,5700 NEW ABBEY LANE UNIT D-330,Castle Rock,CO,80108,
